Owner,Recipe,Description,Ingredients,Steps,Category,Flavor Profile,Nutrition Labels,Prep (min),Cook (min),Servings,Difficulty,Estimated Cost,Tags,Meal Type,Mood,Ratings
,Pininyahang Manok,"Ang Pininyahang Manok ay isang klasikong putaheng Pilipino na kilala sa matamis at creamy nitong sabaw. Ginagawa ito mula sa manok na niluto kasama ang pineapple tidbits, pineapple syrup, at gatas evaporada o gata ng niyog na nagbibigay ng mayamang creamy na texture. Ang asim ng pinya ay nagbabalanse sa alat ng patis, habang ang luya, bawang, at sibuyas ay nagdadagdag ng malalim na lasa at aroma. Ang red bell pepper ay nagpapaganda ng kulay at nagdadagdag ng bahagyang tamis. Ito ay isang paboritong ulam ng pamilya na Easyng lutuin at akma sa lahat ng okasyon — mula sa simpleng hapunan hanggang sa espesyal na handaan. Ihain kasabay ng mainit na kanin para sa isang kumpletong at masustansiyang pagkain.","2 pouch ng pineapple tidbits sinala (itabi ang syrup), 2 kutsarang mahahabang piraso ng luya, 6 cloves garlic (tinadtad), 1 pc. malaking pulang sibuyas (hiniwa-hiwa), 3/4 chicken thigh and leg hiniwa ayon sa kayang kainin ng tao (10–12 pcs.), 1–2 kutsarang patis, 1/2 buong paminta, 1 pc. medium red bell pepper (hiniwa nang pakuwadrado), 2/3 tasang gatas evaporada o gata ng niyog, 1 kutsarang mantika","Step 1: Initin ang kawali sa katamtamang apoy at ilagay ang 1 kutsarang mantika hanggang maging mainit ito.

Step 2: Igisa ang luya, bawang, at sibuyas ng 2 minuto hanggang maging mabango at malambot ang mga ito.

Step 3: Idagdag ang patis at mga piraso ng manok saka igisa ng 10 minuto o hanggang maging medyo brown at tuyo ang manok.

Step 4: Idagdag ang paminta at ibuhos ang pineapple syrup. Takpan ang kawali at bayaang kumulo sa katamtamang init ng apoy ng 15 minuto.

Step 5: Idagdag ang red bell pepper, gatas evaporada, at pineapple tidbits. Pakuluan sa mahinang apoy ng 3-5 minuto habang patuloy na hinahalo para hindi masunog.

Step 6: Tikman at ayusin ang alat ayon sa panlasa. Isalin sa pinggan at ihain nang mainit kasabay ng kanin.",Ulam (Main Dish),"Matamis, Maalat, Creamy",Calories: ~320 kcal | Protein: ~25g | Fat: ~15g | Carbohydrates: ~20g | Sodium: ~450mg,15,30,6,Easy,Medium Cost,"Manok, Pinya, Filipino, Ulam, Pang-araw-araw, Creamy","Tanghalian, Hapunan","Happy, Nostalgic, Family bonding, Comforted",
,Sinampalukang Manok,"Ang Sinampalukang Manok ay isang tradisyonal na sopang Pilipino na may natatanging asim na nagmumula sa sariwang dahon ng sampaloc at sinigang mix. Kumpara sa karaniwang sinigang, ang Sinampalukang Manok ay mas mayaman ang lasa dahil sa natural na asim ng dahon ng sampaloc na nagbibigay ng kakaibang aroma at lalim ng sabaw. Ang putaheng ito ay puno ng masusustansiyang mga gulay tulad ng spinach, sitaw, talong, at kamatis na nagpapayaman sa bawat sandok ng sabaw. Ang paggamit ng chicken bouillon ay nagpalakas pa ng lasa ng sabaw. Ito ay isang comfort food na madalas lutuing kapag malamig ang panahon o kapag may sakit, dahil ang mainit na sabaw nito ay nagpapaginhawa at nagpapalakas ng katawan.","1 hanggang 1-1/2 lb manok (hiniwa ayon sa kayang kainin ng tao), 2 tasang sariwang spinach, 3 medium kamatis (hiniwa nang pakuwadrado), 2 kutsarang patis, 1-1/2 tasang dahon ng sampaloc, 1/2 lb sitaw, 1 medium talong (hiniwa-hiwa nang mahahabang parte), 1 medium sibuyas (hiniwa nang pakuwadrado), 1 kutsarang sinigang mix, 1 chicken bouillon, 3 kutsarang mantika, 3 hanggang 4 tasang tubig","Step 1: Initin ang mantika sa kaserola sa katamtamang apoy hanggang mainit na.

Step 2: Igisa ang sibuyas at kamatis ng ilang minuto hanggang malambot at magsimulang matunaw ang kamatis.

Step 3: Idagdag ang mga piraso ng manok at lutuin hanggang maging light brown ang kulay sa labas ng bawat piraso.

Step 4: Ibuhos ang patis at idagdag ang chicken bouillon. Haluin nang mabuti para mapagsamahin ang mga lasa.

Step 5: Ibuhos ang tubig at pabayaang kumulo sa mataas na apoy.

Step 6: Idagdag ang dahon ng sampaloc at sinigang mix powder. Pakuluan sa katamtamang init hanggang lumambot ang manok at lumalalim ang asim ng sabaw.

Step 7: Idagdag ang talong at sitaw. Iluto ng 5 hanggang 8 minuto o hanggang malambot na ang mga gulay.

Step 8: Ilagay ang spinach at takpan ang kaserola. Iwan ng 5 hanggang 6 minuto para maluto ang spinach gamit ang natitirang init.

Step 9: Tikman ang sabaw at dagdagan ng sinigang powder kung kulang pa sa asim ayon sa panlasa.

Step 10: Isalin sa mangkok at ihain habang mainit kasabay ng kanin.",Sopas (Soup),"Maasim, Maalat, Masabaw","Calories: ~280 kcal | Protein: ~22g | Fat: ~12g | Carbohydrates: ~15g | Sodium: ~520mg (bawat serving, tinatayang halaga)",15,35,4,Easy,Medium Cost,"Manok, Sinigang, Sopas, Filipino, Gulay, Maasim, Tradisyonal","Tanghalian, Hapunan","Sick/under the weather, Nostalgic, Cold and rainy day, Needing warmth",
,Sinigang na Baboy,"Ang Sinigang na Baboy ay isa sa mga pinaka-imahe ng lutuing Pilipino — isang maasim, masabaw, at masustansiyang sopas na paboritong-paborito ng bawat pamilya sa buong bansa. Ginagawa ito gamit ang pork belly o buto-buto na niluto nang matagal hanggang maging malambot at mataba ang karne, na nagbibigay ng malalim at masarap na sabaw. Ang asim nito ay nagmumula sa sinigang mix, habang ang gabi ay nagpapalamlam at nagpapakapal sa sabaw. Ang iba't ibang gulay tulad ng kangkong, sitaw, kamatis, at mahabang sili ay nagdadagdag ng kulay, sustansya, at lasa sa putaheng ito. Ito ay isang tunay na comfort food ng mga Pilipino — ihain nang mainit kasabay ng kanin at isawsaw ang karne sa pinaghalong patis at sili para sa pinakamasarap na karanasan.","2 lbs pork belly o buto-buto, 1 tali ng spinach o kangkong, 3 kutsarang patis, 1 tali ng sitaw (hiniwa ng 2 inch pahaba), 2 pcs. medium sized kamatis (hiniwa nang pakuwadrado), 3 pcs. mahabang sili, 1 kutsarang mantika, 2 litro ng tubig, 1 malaking sibuyas (hiniwa-hiwa), 2 pcs. gabi (hiniwa nang pakuwadrado), 1 pack ng sinigang mix (sapat para sa 2 litro ng tubig), okra at talong kung gusto","Step 1: Initin ang kaserola sa katamtamang apoy at ilagay ang mantika.

Step 2: Igisa ang sibuyas hanggang magkahiwa-hiwalay at maging malambot at transparent.

Step 3: Idagdag ang pork belly at lutuin hanggang maging light brown ang gilid ng karne para mapalalim ang lasa.

Step 4: Ilagay ang patis at ihalo nang mabuti sa lahat ng sangkap sa loob ng kaserola.

Step 5: Ibuhos ang 2 litro ng tubig at bayaang kumulo sa mataas na apoy.

Step 6: Idagdag ang gabi at kamatis saka pakuluan sa katamtamang apoy ng 40 minuto o hanggang lumambot ang baboy at nagsimula nang matunaw ang gabi sa sabaw.

Step 7: Ilagay ang sinigang mix at mahabang sili. Haluin nang maayos at tikman ang sabaw.

Step 8: Idagdag ang sitaw at iba pang gulay tulad ng okra at talong kung gusto. Pakuluan sa mahinang apoy ng 5 hanggang 8 minuto.

Step 9: Ilagay ang spinach o kangkong at patayin ang apoy. Takpan ang kaserola at bayaang maluto ang gulay gamit ang natitirang init.

Step 10: Ihain nang mainit kasabay ng kanin.",Sopas (Soup),"Maasim, Maalat, Masabaw, Malakas ang Lasa",Calories: ~380 kcal | Protein: ~28g | Fat: ~22g | Carbs: ~18g | Sodium: ~600mg,15,55,6,Moderate,Medium Cost,"Baboy, Sinigang, Sopas, Filipino, Gulay, Comfort Food, Pamilya","Tanghalian, Hapunan","Homesick, Comforted, Rainy day, Stressed, Nostalgic",
,Siopao,"Ang Siopao ay isa sa mga pinakasikat na meryenda sa Pilipinas na hango sa Chinese steamed bun. Ito ay binubuo ng malambot at maputing tinapay na niluto sa singaw at ng masarap na asado filling na gawa sa baboy na niluto kasama ang toyo, oyster sauce, hoisin sauce, at asukal hanggang maging matamis-maalat at malambot ang karne. Ang bawat kagat ay puno ng masarap na filling. Perpekto bilang mabilis na meryenda o almusal.","(Dough) 2 tasang mainit na tubig, 2 1/2 kutsarang asukal para sa yeast mixture, 1/2 tasang asukal para sa flour mixture, 1 pouch dry yeast, 5 tasang all purpose flour, 1 1/4 kutsarang baking powder, 6 kutsarang butter |
(Asado Filling) 2 lbs baboy hiniwa-hiwa nang maliliit, 3 kutsarang butter, 2 kutsarang bawang tinadtad, 1 malaking sibuyas tinadtad, 2 kutsarang cornstarch nilusaw sa 1/4 tasang tubig, 4 kutsarang toyo, 4 kutsarang asukal, 3 kutsarang oyster sauce, 1 kutsarang hoisin sauce","(Asado Filling)

Step 1: Initin ang butter sa kawali. Igisa ang bawang at sibuyas hanggang maging mabango at malambot.

Step 2: Ilagay ang baboy at iluto hanggang maging light brown ang paligid ng karne.

Step 3: Idagdag ang toyo, oyster sauce, hoisin sauce, at asukal. Haluin nang maigi para mapagsamahin ang lahat ng lasa.

Step 4: Pakuluan sa katamtamang init ng apoy sa loob ng 40 minuto hanggang lumambot ang baboy at lumapot ang sarsa.

Step 5: Ilagay ang cornstarch na nilusaw sa tubig at haluin hanggang lumapot ang sauce. Itabi at palamigin.

(Dough)

Step 6: Ilagay ang mainit na tubig sa mangkok. Idagdag ang yeast at 2 1/2 kutsarang asukal. Haluin at bayaan ng 10-15 minuto hanggang maging aktibo ang yeast.

Step 7: Sa mixing bowl ilagay ang harina, baking powder, butter, natitirang asukal, at yeast mixture. Haluing maigi hanggang mabuo ang dough.

Step 8: Imasa ang dough hanggang maging pino at maayos ang texture. Takpan at bayaang umalsa ng 30 minuto.

Step 9: Imasa muli ang dough at hiwain sa mga individual na slice para sa bawat siopao.

Step 10: Ipatag ang bawat slice gamit ang rolling pin hanggang maging bilog. Ilagay ang filling sa gitna at balutin nang maayos, tinitiyak na sarado ang bukas na bahagi.

Step 11: Ilagay ang bawat siopao sa steamer at pasingawin ng 15 minuto. Ihain nang mainit.",Meryenda (Snack),"Matamis, Maalat, Malambot",Calories: ~350 kcal | Protein: ~18g | Fat: ~14g | Carbs: ~40g | Sodium: ~480mg,40,55,8,Difficult,High Cost,"Siopao, Meryenda, Baboy, Steamed Bun, Filipino-Chinese, Espesyal","Almusal, Meryenda","Playful, Snacky, On-the-go, Childhood nostalgia",
,Special Siopao Sauce,Ang Special Siopao Sauce ay isang mayaman at malalim-ang-lasa na sawsawan na espesyal na ginawa para samahan ang siopao. Ang beef stock ang nagbibigay ng malalim na base ng sarsa habang ang star anise at five spice powder ay nagdadagdag ng kakaibang oriental na aroma. Ang Worcestershire sauce at pulang asukal ay nagpapahusay ng tamis at lalim ng lasa. Maaari itong i-pack at itago sa refrigerator para sa susunod na paggamit.,"2 tasang beef stock o broth, 1 pc. star anise o 1/2 kutsaritang five spice powder, 2 kutsarang cornstarch nilusaw sa 4 kutsarang tubig, 1/4 tasang sibuyas hiniwa nang maliliit na pakuwadrado, 2 cloves garlic tinadtad, kaunting dinurog na itim na paminta, 4 kutsarang pulang asukal, 2 kutsarang toyo, 1 kutsarang Worcestershire sauce, 1 kutsaritang asin","Step 1: Initin ang kaserola at ibuhos ang beef stock. Bayaang kumulo.

Step 2: Idagdag ang sibuyas, bawang, toyo, Worcestershire sauce, pulang asukal, asin, dinurog na itim na paminta, at star anise.

Step 3: Pakuluan sa katamtamang init ng apoy ng 8-10 minuto. Takpan para makulong ang singaw. Magdagdag ng tubig kung kinakailangan.

Step 4: Patayin ang apoy at salain ang sabaw gamit ang kitchen strainer na may mangkok sa ilalim para masalo ang lahat ng nasaling sabaw.

Step 5: Initin ang malinis na kaserola at ibuhos ang nasaling mixture. Bayaang kumulo sa mahinang apoy.

Step 6: Idagdag ang cornstarch na nilusaw sa tubig nang dahan-dahan. Haluin nang tuloy-tuloy hanggang lumapot ang sauce sa nais na consistency.

Step 7: Patayin ang apoy at bayaang lumamig ang mixture. I-pack o ilagay sa bote para sa paggamit.",Sawsawan (Dipping Sauce),"Matamis, Maalat, Malalim ang Lasa, Mabango",Calories: ~45 kcal | Carbs: ~9g | Sugar: ~6g | Sodium: ~320mg,10,20,8,Easy,Low Cost,"Sawsawan, Siopao, Sauce, Filipino-Chinese, Espesyal, Easyng Gawin","Meryenda, Pang-accompany sa Siopao","Excited, Indulgent, Party mood",
,Pinangat na Isda,"Ang Pinangat na Isda ay isang simpleng putaheng Pilipino na ginagamit ang kamias bilang pangunahing pampaasim. Ang isda ay niluluto kasama ang kamias, kamatis, at pampalasa sa loob ng kawali hanggang maluto nang husto. Ang natural na asim ng kamias ay nagbibigay ng natatanging lasa na maginhawa sa panlasa. Ito ay isang matipid at masustansiyang ulam na Easyng lutuin at akma sa pang-araw-araw na hapunan ng pamilya.","1 lb isda nilinis at inasinan, 8 pcs. kamias, 2 medium kamatis hiniwa nang pakuwadrado, 1 kutsaritang buong paminta, 1 1/2 kutsaritang asin, 1 tasang tubig","Step 1: Iayos ang isda, kamias, at kamatis sa isang malaking kawali nang pantay-pantay.

Step 2: Wisikan ng asin at buong paminta sa ibabaw ng mga sangkap pagkaraan ay buhusan ng tubig.

Step 3: Takpan ang kawali at lutuin sa katamtamang init ng apoy. Bayaang kumulo.

Step 4: Kapag nagsimulang kumulo ang sabaw, hinaan ang apoy at patuloy na lutuin ng 15 hanggang 20 minuto hanggang maluto nang husto ang isda.

Step 5: Patayin ang apoy at i-serve nang mainit kasabay ng kanin.",Ulam (Main Dish),"Maasim, Maalat, Masabaw",Calories: ~180 kcal | Protein: ~25g | Fat: ~6g | Carbs: ~5g | Sodium: ~420mg,10,25,4,Easy,Low Cost,"Isda, Filipino, Ulam, Kamias, Matipid, Pang-araw-araw","Tanghalian, Hapunan","Simple and contented, Frugal, Peaceful, Everyday calm",
,Rellenong Talong (Stuffed Eggplant),"Ang Rellenong Talong ay isang masustansiyang putaheng Pilipino na ginagamit ang inihaw na talong na pinuno ng giniling na baboy at binating itlog. Ang talong ay inihaw muna hanggang maluto, saka tinanggal ang balat at pinupuno ng masarap na giniling na halo ng sibuyas, bawang, kamatis, at pampalasa. Pagkatapos ay isasawsaw sa binating itlog at ipriprito hanggang ginintuang kayumanggi. Ito ay isang napakasarap na ulam na malasa at mukhang espesyal ngunit Easyng gawin at matipid.","2 pcs. talong, 1/2 lb giniling na baboy, 1 maliit na kamatis hiniwa nang maliliit na pakuwadrado, 1 medium dilaw na sibuyas tinadtad, 2 cloves garlic tinadtad, 3 pcs. malalaking itlog binati, 1 kutsaritang toyo, 1 kutsaritang asin, 1/2 kutsaritang dinurog na itim na paminta, 1/2 tasang mantika at 1 kutsara extra","Step 1: Ihaw ang mga talong hanggang sila'y maluto, mga 4 hanggang 6 minuto bawat magkabilang bahagi.

Step 2: Tanggalin ang mga talong mula sa ihawan at bayaang lumamig. Pagkatapos ay tanggalin ang balat at itabi.

Step 3: Samantala, mag-init ng 1 kutsarang mantika sa kawali sa katamtamang apoy.

Step 4: Igisa ang sibuyas, bawang, at kamatis hanggang malambot at mabango.

Step 5: Idagdag ang giniling na baboy at iluto hanggang maging medium brown ang kulay, mga 8 hanggang 10 minuto.

Step 6: Ilagay ang toyo, 1/2 kutsaritang asin, at dinurog na itim na paminta. Ihalo nang maigi at patayin ang apoy. Itabi.

Step 7: Idagdag ang natitirang asin sa binating itlog at muling batihin nang maigi.

Step 8: Isawsaw ang mga inihaw na talong sa binating itlog para mabalaatan ng itlog ang buong talong.

Step 9: Initin ang isang malinis na kawali at ibuhos ang 1/2 tasang mantika sa katamtamang apoy.

Step 10: Ilagay ang isang talong sa kawali. Sumandok ng kalahating giniling na baboy at ikalat ito sa ibabaw ng talong nang pantay-pantay.

Step 11: Magbuhos ng 2 hanggang 3 kutsarang binating itlog sa ibabaw ng giniling na baboy para madikit at mabalot ito.

Step 12: Dahan-dahang baligtarin ang itlog gamit ang spatula kung maaari para lutuin ang kabilang bahagi. Iluto ng 3 hanggang 4 na minuto sa katamtamang init ng apoy.

Step 13: Tanggalin mula sa kawali at isalin sa isang pinggan.

Step 14: Ihain kasama ang banana ketchup at steamed rice.",Ulam (Main Dish),"Maalat, Malasa, Maasim-tam-is",Calories: ~320 kcal | Protein: ~20g | Fat: ~22g | Carbs: ~10g | Sodium: ~480mg,20,35,2,Moderate,Low Cost,"Talong, Giniling, Baboy, Filipino, Ulam, Rellenong, Meryenda","Tanghalian, Hapunan","Resourceful, Proud, Budget-conscious but satisfied",
,Sarsiadong Isda,"Ang Sarsiadong Isda ay isang sikat na putaheng Pilipino na binubuo ng pritong isda na nilubog sa masarap na sarsa ng kamatis, sibuyas, bawang, at binating itlog. Ang isda ay piniprito muna hanggang ginintuang kayumanggi bago ilagay sa masarap na sarsa para sumipsip ng lasa. Ang pagdagdag ng binating itlog sa sarsa ay nagbibigay ng natatanging creamy at malapot na texture. Ito ay isang simpleng ulam na puno ng lasa at perpekto para sa araw-araw na pagkain ng pamilya.","2 lbs tilapia nilinis, 3 pcs. medium-sized kamatis hiniwa nang maliliit na kuwadrado, 3 pcs. medium-sized sibuyas hiniwa nang maliliit na kuwadrado, 1 3/4 tasang tubig, 1/2 kutsaritang dinurog na itim na paminta, 1/2 tasang onion leeks tinadtad (optional), 2 kutsaritang bawang tinadtad, 3 pcs. hilaw na itlog binati, 2 kutsarang patis","Step 1: Initin ang mantika sa isang kawali at iprito ang isda. Siguraduhin na inasinan ang isda bago ito iprito para mas malasa.

Step 2: Tanggalin ang isda mula sa kawali at ilagay sa isang plato na may paper towels para masipsip ang sobrang mantika. Itabi.

Step 3: Gamit ang isang malinis na kawali, mag-init ng 2 kutsaritang mantika saka mag-gisa ng bawang, sibuyas, at kamatis hanggang malambot at mabango.

Step 4: Idagdag ang patis at dinurog na itim na paminta at pagkaraan ay ihalo nang mabuti.

Step 5: Ilagay ang tinadtad na onion leeks at tubig saka bayaang kumulo sa katamtamang apoy.

Step 6: Idagdag ang piniritong isda at pakuluan sa katamtamang init ng apoy mga 3 hanggang 5 minuto para masipsip ng isda ang lasa ng sarsa.

Step 7: Ibuhos ang binating itlog sa kawali nang paunti-unti. Siguraduhin na ito'y makakalat nang pantay sa buong kawali.

Step 8: Kapag namuo na ang itlog, maaari mo nang ihalo ang mixture nang maingat para hindi madurog ang isda.

Step 9: Pakuluan mula sa mahinang apoy ng 2 minuto at isalin sa isang pinggan. Ihain nang mainit.",Ulam (Main Dish),"Maalat, Malasa, Maasim-tam-is",Calories: ~250 kcal | Protein: ~28g | Fat: ~12g | Carbs: ~8g | Sodium: ~510mg,15,25,4,Easy,Medium Cost,"Isda, Tilapia, Sarsiado, Filipino, Ulam, Itlog, Pang-araw-araw","Tanghalian, Hapunan","Homesick, Simple joy, Humble, Everyday contentment",
,Mechado,"Ang Mechado ay isang klasikong putaheng Pilipino na may impluwensiya ng Espanyol, ginagamit ang beef chuck na niluto nang matagal sa tomato sauce, toyo, at pampalasa hanggang maging malambot at masarap ang karne. Ang patatas ay idinagdag sa huli para sumabay sa lasa ng sarsa. Ang dahon ng laurel ay nagbibigay ng kakaibang aroma sa buong ulam. Ito ay isang espesyal na putahe na madalas inihahain sa mga handaan at pista opisyal ngunit maaari ring lutuin para sa pang-araw-araw na hapunan ng pamilya.","3 cloves garlic tinadtad, 1 pc. malaking sibuyas hiniwa-hiwa, 2 lbs beef chuck cubed, 8 ounces tomato sauce, 1 tasang tubig, 3 kutsarang mantika, 1 hiwa ng lemon kasama ang balat, 1 pc. malaking patatas hiniwa-hiwa nang pakuwadrado, 1/4 tasang toyo, 1/2 kutsaritang durog na itim na paminta, 2 pcs. dahon ng laurel, asin pampalasa","Step 1: Initin ang mantika sa kaserola sa katamtamang apoy at igisa ang bawang at sibuyas hanggang maging mabango at malambot.

Step 2: Ilagay ang beef chuck at igisa ng 3 minuto o hanggang maging light brown ang kulay ng karne sa lahat ng gilid.

Step 3: Idagdag ang tomato sauce at tubig saka pakuluan sa katamtamang init ng apoy hanggang lumambot ang karne. Magdagdag ng tubig kung kinakailangan.

Step 4: Idagdag ang toyo, paminta, dahon ng laurel, at asin saka pakuluan sa mahinang apoy hanggang mag-evaporate ang sobrang tubig at lumapot ang sarsa.

Step 5: Ilagay ang patatas at lutuin hanggang lumambot ang patatas, mga 15 hanggang 25 minuto sa mahinang apoy.

Step 6: Isalin sa mangkok at ihain habang mainit kasabay ng kanin.",Ulam (Main Dish),"Maalat, Matamis-Asim, Malasa, Malakas ang Lasa",Calories: ~420 kcal | Protein: ~32g | Fat: ~24g | Carbs: ~18g | Sodium: ~580mg,15,60,6,Moderate,High Cost,"Baka, Beef, Mechado, Filipino, Ulam, Espesyal, Pamilya","Tanghalian, Hapunan","Celebratory, Festive, Proud, Special occasion mood",
,Halo-Halo,"Ang Halo-Halo ay ang pinakasikat na malamig na meryenda ng mga Pilipino na walang pinipiling panahon — mainit man o maulan, lagi itong in-order at inaabangan. Ito ay isang colorful at masustansiyang dessert na binubuo ng iba't ibang minatamis na prutas at legumes, sago, pinipig, at gatas evaporada na ibinubuhos sa ibabaw ng dinurog na yelo. Ang ube halaya at leche flan sa tuktok kasama ang isang scoop ng ice cream ang nagpapaespesyal nito. Bawat sandok ay puno ng iba't ibang texture at lasa na nagbibigay ng kakaibang kasiyahan sa bawat kagat.","Shaved o crushed ice, minatamis na red beans, minatamis na garbanzos, minatamis na kaong, macapuno, ice cream, gatas evaporada, puting asukal, ube halaya, leche flan, minatamis na saging na saba hiwain nang maninipis, minatamis na kamote hiniwa nang pakuwadrado, minatamis na langka isa-isang himayin, nilutong sago, pinipig","Step 1: Ihanda ang lahat ng minatamis na sangkap at ilagay sa magkakahiwalay na containers para Easyng i-serve.

Step 2: Para sa mga sangkap na kailangang lutuin tulad ng saging na saba, kamote, at langka, lutuin ang mga ito sa tubig na may kasamang asukal. Dahan-dahang ibuhos ang asukal para makamit ang tamang tamis. Hayaang lumamig bago gamitin.

Step 3: Lutuin ang sago sa kumukulong tubig hanggang malinaw at malambot. Banlawan at itabi.

Step 4: Sa isang mataas na baso o mangkok, maglagay ng sapat na dinurog o shaved na yelo bilang base.

Step 5: Maglagay ng 2 kutsarang bawat isa ng mga minatamis na sangkap sa ibabaw ng yelo nang makulay at maayos.

Step 6: Ibuhos ang 1/8 tasang gatas evaporada o isang latang gatas evaporada sa ibabaw ng mga sangkap.

Step 7: Lagyan ng ube halaya at leche flan sa tuktok para sa kumpletong halo-halo.

Step 8: Maglagay ng isang scoop ng ice cream sa pinaka-itaas at budburan ng pinipig bago i-serve.",Malamig na Meryenda (Dessert),"Matamis, Creamy, Malamig, Masaya ang Lasa",Calories: ~320 kcal | Protein: ~5g | Fat: ~8g | Carbs: ~58g | Sugar: ~40g,20,15,1,Easy,Low Cost,"Halo-Halo, Dessert, Malamig, Filipino, Meryenda, Tag-init, Espesyal","Meryenda, Dessert","Joyful, Excited, Hot and sweaty, Summer fun, Carefree",
